Sample,OtolithID,Na,Mg,P,Ba,Sr,Mn,Zn,Ni,Cu,Rb,Cr,Li,Al,Sc,Ti,Y,Pb,Radius_to_pit,Longitude,Latitude,HaulID
Age-1_Oct_equiv,D122,3144.547206,26.95725495,264.1598907,10.3644665,1661.21121,4.796033285,0.264465622,0.122407612,0.354996064,0.078125305,1.076838329,1.487304974,0.153296451,1.015495742,0.037695428,0,0.003500754,978.72,-5.89,58.005,117
Age-1_Oct_equiv,D960,3609.320043,44.17531654,383.6038391,4.041674518,1598.446198,5.698675046,0.189406926,0.186568264,0.232486257,0.055751449,1.025148167,1.561430896,0.154859992,1.001207201,0,0.000511542,0.005889889,667.22,-3.763,53.482,126
Age-1_Oct_equiv,D676,3258.51239,29.22886292,375.4694462,19.605529,1485.22162,3.741075963,0.197649366,0.134392977,0.069418957,0.039803505,0.815126861,1.633103692,0,1.004368799,0,0.00317721,0.003223867,816.17,-7.352,58.262,124
Age-1_Oct_equiv,D990,3088.976992,23.65751793,245.5712259,6.792324989,1784.916009,25.30449235,0.150589333,0.117934141,0.131794558,0.055315842,0.782125406,1.46286084,0.129392465,1.022774365,0.064211294,0.000804328,0.073996345,512.1,-3.763,53.482,126
Age-1_Oct_equiv,D717,3193.492682,32.27616841,311.315702,10.79516355,1614.033208,2.029965263,0.177081403,0.155319993,0.309074837,0.070354676,0.789627228,1.557734649,0,1.018363559,0.044762323,0.001180505,0.000377199,674.68,-7.352,58.262,124
Age-1_Oct_equiv,D238,3607.373206,29.74647402,661.9404179,1.052052075,1522.677871,4.461810681,0.1874484,0.167715109,0.247450802,0.06612927,0.834245483,1.35063088,0,1.0143901,0.115726545,0.000268625,0.004243603,823.88,-5.223,55.414,121
Age-1_Oct_equiv,D477,3454.439177,29.17751313,311.7156357,2.153310284,1693.810727,1.843194462,0.30433221,0.038759368,0.260391727,0.062765971,0.449754913,1.195481541,0,1,0.006705607,0,0,1050.43,-6.704,57.129,123
Age-1_Oct_equiv,D301,2731.783758,18.57837567,118.2977862,5.733714975,2521.160114,1.611979334,0.340029666,0.153710841,0.214085953,0.072193451,0.781094605,1.187459843,1.123734398,1.027171226,0.008218332,0,0.013689026,781.78,-6.761,56.188,122
Age-1_Oct_equiv,D1029,3463.45103,24.91346447,449.8878291,2.741749408,1786.563164,0.915708062,0.258890308,0.139684319,0.253581444,0.072457517,0.776292061,1.370118008,0.072217958,1.014520596,0.078485927,0.000299269,0.004462437,975.65,-5.419,58.673,127
Age-1_Oct_equiv,D72,3104.716224,30.98257999,199.8362544,1.657134099,1899.072086,2.670238725,0.371804927,0.17441236,0.270734412,0.097846962,0.796018312,1.308683532,0.292383733,1.003468135,0,0.002584742,0,627.99,-5.89,58.005,117
Age-1_Oct_equiv,D806,3245.863249,27.69829253,269.9392646,2.69737505,1274.718079,2.126205705,0.228335839,0.105104319,0.268858618,0.089412724,0.936701697,1.301715297,0.220888892,1.021868533,0,0.002428635,0.005094793,963.66,-6.704,57.129,123
Age-1_Oct_equiv,D125,3560.85057,27.45749574,378.1591449,3.905434858,1773.375204,5.484093536,0.331753067,0.149994974,0.254314982,0.072370177,0.957033448,1.386611905,0.098908138,1.020609659,3.412578053,0.002804956,0.009849054,794.64,-8.683,57.309,118
Age-1_Oct_equiv,D394,2879.469481,13.94551635,209.3949346,1.792843658,2444.695464,0.905528939,0.090368739,0.152309697,0.177489928,0.065577452,0.975299256,1.111053044,0,1.008261248,0.007090446,0.000609077,0.009554883,1444.47,-6.761,56.188,122
